seq_no,self_valid,link_valid,status
1,True,True,VALID
2,True,True,VALID
3,True,True,VALID
4,True,True,VALID
5,True,True,VALID
6,True,True,VALID
7,True,True,VALID
8,True,True,VALID
9,True,True,VALID
10,True,True,VALID
11,True,True,VALID
12,True,True,VALID
13,True,True,VALID
14,True,True,VALID
15,True,True,VALID
16,True,True,VALID
17,True,True,VALID
18,True,True,VALID
19,True,True,VALID
20,True,True,VALID
21,True,True,VALID
22,True,True,VALID
23,True,True,VALID
24,True,True,VALID
25,True,True,VALID
26,True,True,VALID
27,True,True,VALID
28,True,True,VALID
29,True,True,VALID
30,True,True,VALID
31,True,True,VALID
32,True,True,VALID
33,True,True,VALID
34,True,True,VALID
35,True,True,VALID
36,True,True,VALID
37,True,True,VALID
38,True,True,VALID
39,True,True,VALID
40,True,True,VALID
41,True,True,VALID
42,True,True,VALID
43,True,True,VALID
44,True,True,VALID
45,True,True,VALID
46,True,True,VALID
47,True,True,VALID
48,True,True,VALID
49,True,True,VALID
50,True,True,VALID
51,True,True,VALID
52,True,True,VALID
53,True,True,VALID
54,True,True,VALID
55,True,True,VALID
56,True,True,VALID
57,True,True,VALID
58,True,True,VALID
59,True,True,VALID
60,True,True,VALID
61,True,True,VALID
62,True,True,VALID
63,True,True,VALID
64,True,True,VALID
65,True,True,VALID
66,True,True,VALID
67,True,True,VALID
68,True,True,VALID
69,True,True,VALID
70,True,True,VALID
71,True,True,VALID
72,True,True,VALID
73,True,True,VALID
74,True,True,VALID
75,True,True,VALID
76,True,True,VALID
77,True,True,VALID
78,True,True,VALID
79,True,True,VALID
80,True,True,VALID
81,True,True,VALID
82,True,True,VALID
83,True,True,VALID
84,True,True,VALID
85,True,True,VALID
86,True,True,VALID
87,True,True,VALID
88,True,True,VALID
89,True,True,VALID
90,True,True,VALID
91,True,True,VALID
92,True,True,VALID
93,True,True,VALID
94,True,True,VALID
95,True,True,VALID
96,True,True,VALID
97,True,True,VALID
98,True,True,VALID
99,True,True,VALID
100,True,True,VALID
101,True,True,VALID
102,True,True,VALID
103,True,True,VALID
104,True,True,VALID
105,True,True,VALID
106,True,True,VALID
107,True,True,VALID
108,True,True,VALID
109,True,True,VALID
110,True,True,VALID
111,True,True,VALID
112,True,True,VALID
113,True,True,VALID
114,True,True,VALID
115,True,True,VALID
116,True,True,VALID
117,True,True,VALID
118,True,True,VALID
119,True,True,VALID
120,True,True,VALID
121,True,True,VALID
122,True,True,VALID
123,True,True,VALID
124,True,True,VALID
125,True,True,VALID
126,True,True,VALID
127,True,True,VALID
128,True,True,VALID
129,True,True,VALID
130,True,True,VALID
131,True,True,VALID
132,True,True,VALID
133,True,True,VALID
134,True,True,VALID
135,True,True,VALID
136,True,True,VALID
137,True,True,VALID
138,True,True,VALID
139,True,True,VALID
140,True,True,VALID
141,True,True,VALID
142,True,True,VALID
143,True,True,VALID
144,True,True,VALID
145,True,True,VALID
146,True,True,VALID
147,True,True,VALID
148,True,True,VALID
149,True,True,VALID
150,True,True,VALID
151,True,True,VALID
152,True,True,VALID
153,True,True,VALID
154,True,True,VALID
155,True,True,VALID
156,True,True,VALID
157,True,True,VALID
158,True,True,VALID
159,True,True,VALID
160,True,True,VALID
161,True,True,VALID
162,True,True,VALID
163,True,True,VALID
164,True,True,VALID
165,True,True,VALID
166,True,True,VALID
167,True,True,VALID
168,True,True,VALID
169,True,True,VALID
170,True,True,VALID
171,True,True,VALID
172,True,True,VALID
173,True,True,VALID
174,True,True,VALID
175,True,True,VALID
176,True,True,VALID
177,True,True,VALID
178,True,True,VALID
179,True,True,VALID
180,True,True,VALID
181,True,True,VALID
182,True,True,VALID
183,True,True,VALID
184,True,True,VALID
185,True,True,VALID
186,True,True,VALID
187,True,True,VALID
188,True,True,VALID
189,True,True,VALID
190,True,True,VALID
191,True,True,VALID
192,True,True,VALID
193,True,True,VALID
194,True,True,VALID
195,True,True,VALID
196,True,True,VALID
197,True,True,VALID
198,True,True,VALID
199,True,True,VALID
200,True,True,VALID
201,True,True,VALID
202,True,True,VALID
203,True,True,VALID
204,True,True,VALID
205,True,True,VALID
206,True,True,VALID
207,True,True,VALID
208,True,True,VALID
209,True,True,VALID
210,True,True,VALID
211,True,True,VALID
212,True,True,VALID
213,True,True,VALID
214,True,True,VALID
215,True,True,VALID
216,True,True,VALID
217,True,True,VALID
218,True,True,VALID
219,True,True,VALID
220,True,True,VALID
221,True,True,VALID
222,True,True,VALID
223,True,True,VALID
224,True,True,VALID
225,True,True,VALID
226,True,True,VALID
227,True,True,VALID
228,True,True,VALID
229,True,True,VALID
230,True,True,VALID
231,True,True,VALID
232,True,True,VALID
233,True,True,VALID
234,True,True,VALID
235,True,True,VALID
236,True,True,VALID
237,True,True,VALID
238,True,True,VALID
239,True,True,VALID
240,True,True,VALID
241,True,True,VALID
242,True,True,VALID
243,True,True,VALID
244,True,True,VALID
245,True,True,VALID
246,True,True,VALID
247,True,True,VALID
248,True,True,VALID
249,True,True,VALID
250,True,True,VALID
251,True,True,VALID
252,True,True,VALID
253,True,True,VALID
254,True,True,VALID
255,True,True,VALID
256,True,True,VALID
257,True,True,VALID
258,True,True,VALID
259,True,True,VALID
260,True,True,VALID
261,True,True,VALID
262,True,True,VALID
263,True,True,VALID
264,True,True,VALID
265,True,True,VALID
266,True,True,VALID
267,True,True,VALID
268,True,True,VALID
269,True,True,VALID
270,True,True,VALID
271,True,True,VALID
272,True,True,VALID
273,True,True,VALID
274,True,True,VALID
275,True,True,VALID
276,True,True,VALID
277,True,True,VALID
278,True,True,VALID
279,True,True,VALID
280,True,True,VALID
281,True,True,VALID
282,True,True,VALID
283,True,True,VALID
284,True,True,VALID
285,True,True,VALID
286,True,True,VALID
287,True,True,VALID
288,True,True,VALID
289,True,True,VALID
290,True,True,VALID
291,True,True,VALID
292,True,True,VALID
293,True,True,VALID
294,True,True,VALID
295,True,True,VALID
296,True,True,VALID
297,True,True,VALID
298,True,True,VALID
299,True,True,VALID
300,True,True,VALID
301,True,True,VALID
302,True,True,VALID
303,True,True,VALID
304,True,True,VALID
305,True,True,VALID
306,True,True,VALID
307,True,True,VALID
308,True,True,VALID
309,True,True,VALID
310,True,True,VALID
311,True,True,VALID
312,True,True,VALID
313,True,True,VALID
314,True,True,VALID
315,True,True,VALID
316,True,True,VALID
